"";"city_id";"town_id";"city_town";"district_neighborhood";"neighborhood_id";"subdivisions"
"553";34;419;"34 - Beyoglu";"419 - BOSTAN  MH.";22482;NA
"554";34;419;"34 - Beyoglu";"419 - ASMALI MESCIT  MH.";22474;NA
"555";34;436;"34 - Esenyurt";"436 - KOZA MH.";62521;NA
"556";34;436;"34 - Esenyurt";"436 - YESILKENT MH.";51670;NA
"557";34;436;"34 - Esenyurt";"436 - ZAFER MH.";62513;NA
"558";34;436;"34 - Esenyurt";"436 - PIRI REIS MH.";62507;NA
"559";34;436;"34 - Esenyurt";"436 - GOKEVLER MH.";62509;NA
"560";34;436;"34 - Esenyurt";"436 - AKEVLER MH.";62501;NA
"561";34;436;"34 - Esenyurt";"436 - SULTANIYE MH.";62516;NA
"562";34;436;"34 - Esenyurt";"436 - BAGLARCESME MH.";22894;NA
"563";34;422;"34 - Fatih";"422 - MIMAR KEMALETTIN MH.";22665;NA
"564";34;422;"34 - Fatih";"422 - MESIHPASA MH.";22664;NA
"565";34;422;"34 - Fatih";"422 - SARAC ISHAK MH.";22668;NA
"566";34;422;"34 - Fatih";"422 - MUHSINE HATUN MH.";22666;NA
"567";34;422;"34 - Fatih";"422 - BALABANAGA MH.";22669;NA
"568";34;422;"34 - Fatih";"422 - MIMAR HAYRETTIN MH.";22661;NA
"569";34;422;"34 - Fatih";"422 - NISANCA MH.";22667;NA
"570";34;422;"34 - Fatih";"422 - KEMALPASA MH.";22674;NA
"571";34;422;"34 - Fatih";"422 - KATIP KASIM MH.";22663;NA
"572";34;422;"34 - Fatih";"422 - ISKENDERPASA MH.";22581;NA
"573";34;422;"34 - Fatih";"422 - MOLLA GURANI MH.";22616;NA
"574";34;422;"34 - Fatih";"422 - MOLLA HUSREV MH.";22675;NA
"575";34;422;"34 - Fatih";"422 - AKSEMSETTIN MH.";22579;NA
"576";34;425;"34 - Kucukcekmece";"425 - BESYOL MH.";22718;NA
"577";34;425;"34 - Kucukcekmece";"425 - KUCUKCEKMECE IKITELLIOSB MH.";61228;NA
"578";34;425;"34 - Kucukcekmece";"425 - MEHMET AKIF MH.";22732;NA
"579";34;426;"34 - Sariyer";"426 - MASLAK MH.";22800;NA
"580";34;453;"34 - Sile";"453 - MESRUTIYET MH.";23344;NA
"581";34;427;"34 - Sisli";"427 - INONU MH.";22779;NA
"582";34;427;"34 - Sisli";"427 - ERGENEKON MH.";51664;NA
"583";34;427;"34 - Sisli";"427 - MECIDIYEKOY MH.";22794;NA
"584";34;427;"34 - Sisli";"427 - CUMHURIYET MH.";22786;NA
"585";34;445;"34 - Tuzla";"445 - AYDINLI-KOSB MH.";23149;NA
"586";34;443;"34 - Umraniye";"443 - DUDULLU OSB MH.";57601;NA
"587";34;428;"34 - Zeytinburnu";"428 - MALTEPE MH.";22801;NA
"588";34;428;"34 - Zeytinburnu";"428 - YENIDOGAN MH.";22808;NA
"589";34;428;"34 - Zeytinburnu";"428 - NURIPASA MH.";22810;NA
"590";34;428;"34 - Zeytinburnu";"428 - YESILTEPE MH.";22813;NA
"591";35;458;"35 - Bornova";"458 - YUNUS EMRE MH.";23531;NA
"592";35;458;"35 - Bornova";"458 - ISIKLAR MH.";23533;NA
"593";35;458;"35 - Bornova";"458 - ZAFER MH.";23541;NA
"594";35;458;"35 - Bornova";"458 - SERINTEPE MH.";23539;NA
"595";35;459;"35 - Buca";"459 - SEYHAN MH.";23579;NA
"596";35;475;"35 - Karabaglar";"475 - ASIK VEYSEL MH.";24146;NA
"597";35;466;"35 - Konak";"466 - TAN MH.";23837;NA
"598";35;466;"35 - Konak";"466 - FAIK PASA MH.";23803;NA
"599";35;466;"35 - Konak";"466 - YENI MH.";23816;NA
"600";35;466;"35 - Konak";"466 - MIRALI MH.";23808;NA
"601";35;466;"35 - Konak";"466 - ALI REIS MH.";23798;NA
"602";35;466;"35 - Konak";"466 - ETILER MH.";23819;NA
"603";35;466;"35 - Konak";"466 - SAKARYA MH.";23811;NA
"604";35;466;"35 - Konak";"466 - ALTAY MH.";23799;NA
"605";35;466;"35 - Konak";"466 - BOZKURT MH.";23831;NA
"606";35;466;"35 - Konak";"466 - PAZARYERI MH.";23810;NA
"607";35;466;"35 - Konak";"466 - ALTINORDU MH.";23800;NA
"608";35;466;"35 - Konak";"466 - UGUR MH.";23839;NA
"609";35;466;"35 - Konak";"466 - KUBILAY MH.";23806;NA
"610";35;466;"35 - Konak";"466 - SUVARI MH.";23813;NA
"611";35;466;"35 - Konak";"466 - YESILDERE MH.";23856;NA
"612";35;466;"35 - Konak";"466 - KOCAKAPI MH.";23805;NA
"613";35;466;"35 - Konak";"466 - AKARCALI MH.";23797;NA
"614";35;466;"35 - Konak";"466 - MURAT MH.";23782;NA
"615";35;466;"35 - Konak";"466 - KADIFEKALE MH.";23852;NA
"616";35;472;"35 - Torbali";"472 - 19 MAYIS MH.";53316;NA
"617";35;472;"35 - Torbali";"472 - KARSIYAKA MH.";24041;NA
"618";46;1072;"46 - Dulkadiroglu";"1072 - SIVRICEHUYUK MH.";55815;NA
"619";46;1072;"46 - Dulkadiroglu";"1072 - MENDERES MH.";32709;NA
"620";46;1072;"46 - Dulkadiroglu";"1072 - TURAN MH.";32644;NA
"621";46;1072;"46 - Dulkadiroglu";"1072 - SAKARYA MH.";32646;NA
"622";46;1072;"46 - Dulkadiroglu";"1072 - ISA DIVANLI MH.";32645;NA
"623";46;1072;"46 - Dulkadiroglu";"1072 - KURTULUS MH.";32642;NA
"624";46;1072;"46 - Dulkadiroglu";"1072 - EKMEKCI MH.";32643;NA
"625";46;1072;"46 - Dulkadiroglu";"1072 - FEVZI PASA MH.";32658;NA
"626";46;1072;"46 - Dulkadiroglu";"1072 - DURAKLI MH.";32660;NA
"627";46;1072;"46 - Dulkadiroglu";"1072 - DIVANLI MH.";55679;NA
"628";46;1072;"46 - Dulkadiroglu";"1072 - ISMET PASA MH.";32641;NA
"629";46;1072;"46 - Dulkadiroglu";"1072 - KAYABASI MH.";32659;NA
